carat,c0lor,clarity,prise,cut
0.23,E,SI2,326,Fair
0.21,E,SI1,326,Fair
0.23,E,VS1,327,Fair
0.29,I,VS2,334,Fair
0.31,J,NA,335,Fair
0.24,J,VVS2,336,Fair
0.24,I,NA,336,Fair
0.26,H,SI1,337,Fair
0.22,E,VS2,337,Fair
0.23,H,NA,338,Fair
0.3,J,SI1,339,Fair
0.23,J,VS1,340,Fair
0.22,F,SI1,342,Fair
0.31,J,SI2,344,Fair
0.2,E,SI2,345,Fair
0.32,E,I1,345,Fair
0.3,I,SI2,348,Fair
0.3,J,SI1,351,Fair
0.3,J,SI1,351,Fair
0.3,J,SI1,351,Fair
0.3,I,SI2,351,Fair
0.23,E,VS2,352,Fair
0.23,H,VS1,353,Fair
0.31,J,SI1,353,Fair
0.31,J,SI1,353,Fair
0.23,G,VVS2,354,Fair
0.24,I,VS1,355,Fair
0.3,J,VS2,357,Fair
0.23,D,VS2,357,Fair
0.23,F,VS1,357,Fair
0.23,F,NA,402,Fair
0.23,F,VS1,402,Fair
0.23,E,VS1,402,Fair
0.23,E,VS1,402,Fair
0.23,D,VS1,402,Fair
0.23,F,VS1,402,Fair
0.23,E,VS1,402,Fair
0.31,H,SI1,402,Fair
0.26,D,VS2,403,Fair
0.33,I,SI2,403,Fair
0.33,I,NA,403,Fair
0.33,J,SI1,403,Fair
0.26,D,VS2,403,Fair
0.26,D,VS1,403,Fair
0.32,H,SI2,403,Fair
0.29,F,SI1,403,Fair
0.32,H,SI2,403,Fair
0.32,H,SI2,403,Fair
0.25,E,NA,404,Fair
0.29,H,NA,404,Fair
0.24,F,SI1,404,Fair
0.23,G,VS1,404,Fair
0.32,I,SI1,404,Fair
0.22,E,VS2,404,Fair
0.22,D,NA,404,Fair
0.3,I,SI2,405,Fair
0.3,J,NA,405,Fair
0.3,I,SI1,405,Fair
0.3,I,SI1,405,Fair
0.3,I,SI1,405,Fair
0.35,I,VS1,552,Fair
0.3,D,SI1,552,Fair
0.3,D,SI1,552,Fair
0.3,D,SI1,552,Fair
0.42,I,SI2,552,Fair
0.28,G,VVS2,553,Fair
0.32,I,VVS1,553,Fair
0.31,G,SI1,553,Fair
0.31,G,NA,553,Fair
0.24,E,VVS1,553,Good
0.24,D,VVS1,553,Good
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.26,F,NA,554,Fair
0.26,E,VVS2,554,Fair
0.26,D,VVS2,554,Fair
0.26,D,NA,554,Fair
0.26,E,VVS1,554,Fair
0.26,E,VVS1,554,Fair
0.26,D,VVS1,554,Fair
0.26,E,VVS2,554,Fair
0.38,I,SI2,554,Fair
0.26,E,VVS1,554,Fair
0.24,G,VVS1,554,Good
0.24,H,VVS1,554,Good
0.24,H,VVS1,554,Good
0.24,H,VVS2,554,Good
0.32,I,SI1,554,Fair
0.7,E,SI1,2757,Very Good
0.86,E,SI2,2757,Very Good
0.7,G,VS2,2757,Very Good
0.71,E,VS2,2759,Very Good
0.78,G,SI2,2759,Very Good
0.7,E,VS2,2759,Very Good
0.7,F,VS1,2759,Very Good
0.96,F,SI2,2759,Good
0.73,E,SI1,2760,Very Good
0.8,H,NA,2760,Very Good
0.75,D,SI1,2760,Very Good
0.75,E,SI1,2760,Very Good
0.74,G,SI1,2760,Very Good
0.75,G,VS2,2760,Very Good
0.8,I,VS1,2760,Very Good
0.75,G,NA,2760,Very Good
0.8,G,SI1,2760,Very Good
0.74,I,NA,2761,Very Good
0.81,F,SI2,2761,Very Good
0.59,E,VVS2,2761,Premium
0.8,F,SI2,2761,Very Good
0.74,E,SI2,2761,Very Good
0.9,I,NA,2761,Good
0.74,G,SI1,2762,Very Good
0.73,F,VS2,2762,Very Good
0.73,F,VS2,2762,Very Good
0.8,F,SI2,2762,Very Good
0.71,G,VS2,2762,Very Good
0.7,E,VS2,2762,Very Good
0.8,F,SI2,2762,Very Good
0.71,D,SI2,2762,Very Good
0.74,E,SI1,2762,Very Good
0.7,F,VS2,2762,Very Good
0.7,F,VS2,2762,Very Good
0.7,F,VS2,2762,Very Good
0.7,F,NA,2762,Very Good
0.91,H,SI1,2763,Good
0.61,D,VVS2,2763,Premium
0.91,H,SI2,2763,Good
0.91,H,SI2,2763,Good
0.77,H,VS2,2763,Very Good
0.71,D,NA,2764,Very Good
0.71,D,SI1,2764,Very Good
0.7,E,NA,2765,Very Good
0.77,H,VS1,2765,Very Good
0.63,E,VVS1,2765,Premium
0.71,F,VS1,2765,Very Good
0.71,F,VS1,2765,Very Good
0.76,H,SI1,2765,Very Good
0.64,G,VVS1,2766,Premium
0.71,G,VS2,2766,Very Good
0.71,G,VS2,2766,Very Good
0.7,D,VS2,2767,Very Good
0.7,F,VS1,2767,Very Good
0.71,D,SI2,2767,Very Good
0.7,H,VVS2,2767,Very Good
0.71,G,VS1,2768,Very Good
0.73,D,SI1,2768,Very Good
0.7,D,SI1,2768,Very Good
0.7,E,SI1,2768,Very Good
0.71,D,SI2,2768,Very Good
0.74,I,SI1,2769,Very Good
0.71,D,VS2,2770,Very Good
0.73,G,VS2,2770,Very Good
0.76,F,SI1,2770,Very Good
0.76,D,SI2,2770,Very Good
0.71,F,SI1,2770,Very Good
0.73,G,VS2,2770,Very Good
0.73,G,VS1,2770,Very Good
0.73,D,SI2,2770,Very Good
0.73,G,VS2,2770,Very Good
0.72,H,VVS2,2771,Very Good
0.73,F,SI1,2771,Very Good
0.71,G,VS2,2771,Very Good
0.79,F,SI2,2771,Very Good
0.73,H,VVS1,2772,Very Good
0.8,F,SI2,2772,Very Good
0.58,G,VVS1,2772,Premium
0.58,F,VVS1,2772,Premium
0.71,E,VS2,2772,Very Good
0.75,D,SI2,2773,Very Good
0.7,D,VS2,2773,Very Good
1.17,J,I1,2774,Good
0.6,E,VS1,2774,Premium
0.7,E,SI1,2774,Very Good
0.83,I,VS2,2774,Very Good
0.74,F,VS2,2775,Very Good
0.72,G,NA,2776,Very Good
0.71,E,VS2,2776,Very Good
0.71,E,VS2,2776,Very Good
0.54,E,VVS2,2776,Premium
0.54,E,VVS2,2776,Premium
0.72,G,SI1,2776,Very Good
0.72,G,SI1,2776,Very Good
0.72,G,VS2,2776,Very Good
0.71,G,SI1,2776,Very Good
0.7,D,VS1,2777,Very Good
0.71,F,NA,2777,Very Good
0.71,F,VS2,2777,Very Good
0.71,F,VS2,2777,Very Good
0.71,F,VS2,2777,Very Good
0.7,E,VS2,2777,Very Good
0.7,E,VS2,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
